FID,id,tunnus,kadunnimi,puistonnimi,paatyyppi,suomenknimi,suku,laji,kokoluokka,istutusvuosi,datanomistaja,paivitetty_tietopalveluun,geom
Puurekisteri_piste.10682,10682,P-44017-200,,KATRI VALAN PUISTO,Puisto,METSÄVAAHTERA,Acer,platanoides,10 - 20 cm,,Helsinki/MAKA,2026-02-27,POINT (24.96367729205511 60.18571571133822)
Puurekisteri_piste.10406,10406,P-53003-1928,,TULLISAAREN KARTANO,Puisto,METSÄMÄNTY,Pinus,sylvestris,20 - 30 cm,,Helsinki/MAKA,2026-02-27,POINT (25.023255038197192 60.177243735981456)
Puurekisteri_piste.10408,10408,K-9441,POHJOLANKATU,,Katu,PUISTOLEHMUS,Tilia,x vulgaris,30 - 50 cm,,Helsinki/MAKA,2026-02-27,POINT (24.95353544499962 60.21671103395548)
Puurekisteri_piste.10410,10410,K-9443,POHJOLANKATU,,Katu,PUISTOLEHMUS,Tilia,x vulgaris,0 - 10 cm,,Helsinki/MAKA,2026-02-27,POINT (24.955050595670574 60.21727671960361)
Puurekisteri_piste.10412,10412,K-9445,POHJOLANKATU,,Katu,PUISTOLEHMUS,Tilia,x vulgaris,0 - 10 cm,,Helsinki/MAKA,2026-02-27,POINT (24.955299974472062 60.217347738781164)
Puurekisteri_piste.10413,10413,P-43001-36,,LAIVASTOPUISTO,Puisto,RAUDUSKOIVU,Betula,pendula,0 - 10 cm,,Helsinki/MAKA,2026-02-27,POINT (24.97005582211831 60.16858651188346)
Puurekisteri_piste.10414,10414,P-43001-37,,LAIVASTOPUISTO,Puisto,RAUDUSKOIVU,Betula,pendula,0 - 10 cm,,Helsinki/MAKA,2026-02-27,POINT (24.970126271861144 60.16859038804508)
Puurekisteri_piste.10415,10415,P-43001-38,,LAIVASTOPUISTO,Puisto,PUISTOLEHMUS,Tilia,x vulgaris,70 cm -,,Helsinki/MAKA,2026-02-27,POINT (24.970229168011016 60.168312551278625)
Puurekisteri_piste.10416,10416,P-53003-1314,,TULLISAAREN KARTANO,Puisto,LEHTOSAARNI,Fraxinus,excelsior,30 - 50 cm,,Helsinki/MAKA,2026-02-27,POINT (25.034561472605827 60.18024376496298)
Puurekisteri_piste.10418,10418,P-53003-1316,,TULLISAAREN KARTANO,Puisto,METSÄVAAHTERA,Acer,platanoides,30 - 50 cm,,Helsinki/MAKA,2026-02-27,POINT (25.034484935272626 60.18025013858695)
Puurekisteri_piste.10419,10419,P-53003-1317,,TULLISAAREN KARTANO,Puisto,METSÄVAAHTERA,Acer,platanoides,20 - 30 cm,,Helsinki/MAKA,2026-02-27,POINT (25.03446392223025 60.180252451623616)
Puurekisteri_piste.10421,10421,K-5040,VIHERNIEMENKATU,,Katu,PUISTOLEHMUS,Tilia,x vulgaris,20 - 30 cm,,Helsinki/MAKA,2026-02-27,POINT (24.953106346764176 60.17937347426498)
Puurekisteri_piste.10422,10422,P-53003-299,,TULLISAAREN KARTANO,Puisto,METSÄTAMMI,Quercus,robur,70 cm -,,Helsinki/MAKA,2026-02-27,POINT (25.030135602996104 60.178471458040285)
Puurekisteri_piste.10427,10427,P-42005-957,,KAIVOPUISTO,Puisto,METSÄVAAHTERA,Acer,platanoides,50 - 70 cm,,Helsinki/MAKA,2026-02-27,POINT (24.954010121762913 60.157745898214635)
Puurekisteri_piste.10429,10429,P-42005-959,,KAIVOPUISTO,Puisto,METSÄVAAHTERA,Acer,platanoides,50 - 70 cm,,Helsinki/MAKA,2026-02-27,POINT (24.953687626373625 60.157688233580984)
Puurekisteri_piste.10430,10430,P-42005-960,,KAIVOPUISTO,Puisto,METSÄVAAHTERA,Acer,platanoides,50 - 70 cm,,Helsinki/MAKA,2026-02-27,POINT (24.953983823359923 60.157588340822926)
Puurekisteri_piste.10431,10431,P-43002-13,,MERIKASARMINPUISTO,Puisto,METSÄTAMMI,Quercus,robur,20 - 30 cm,,Helsinki/MAKA,2026-02-27,POINT (24.97463847504277 60.16758403448733)
Puurekisteri_piste.10434,10434,P-43002-16,,MERIKASARMINPUISTO,Puisto,METSÄTAMMI,Quercus,robur,20 - 30 cm,,Helsinki/MAKA,2026-02-27,POINT (24.97453348146313 60.16754057290282)
Puurekisteri_piste.10435,10435,P-43067-356,,TERVASAARI,Puisto,METSÄVAAHTERA,Acer,platanoides,0 - 10 cm,,Helsinki/MAKA,2026-02-27,POINT (24.96970342122207 60.172933343916334)
Puurekisteri_piste.10436,10436,P-43067-357,,TERVASAARI,Puisto,METSÄVAAHTERA,Acer,platanoides,0 - 10 cm,,Helsinki/MAKA,2026-02-27,POINT (24.96964863326499 60.17294501328005)
